Date,Open,High,Low,Close,Adj Close,Volume
1992-03-09,17.5,17.5,15.75,17.25,1.464025616645813,590750
1992-03-10,17.25,17.5,16.75,17.5,1.4852416515350342,472750
1992-03-11,17.25,18.0,17.0,17.75,1.5064595937728882,412700
1992-03-12,17.75,18.0,17.5,18.0,1.5276765823364258,186100
1992-03-13,17.75,18.0,17.5,18.0,1.5276765823364258,169150
1992-03-16,17.75,18.0,17.5,18.0,1.5276765823364258,211850
1992-03-17,17.75,18.0,17.5,17.5,1.4852416515350342,183850
1992-03-18,17.5,18.0,17.5,18.0,1.5276765823364258,283100
1992-03-19,17.75,18.0,17.5,17.75,1.5064595937728882,218900
1992-03-20,17.5,17.75,17.5,17.5,1.4852416515350342,144300
1992-03-23,18.0,18.25,17.75,18.25,1.5488948822021484,289600
1992-03-24,18.0,18.25,18.0,18.25,1.5488948822021484,174900
1992-03-25,18.25,18.25,18.0,18.25,1.5488948822021484,152800
1992-03-26,18.25,18.25,18.0,18.25,1.5488948822021484,102350
1992-03-27,18.0,18.25,18.0,18.25,1.5488948822021484,149650
1992-03-30,18.0,18.25,18.0,18.25,1.5488948822021484,159350
1992-03-31,18.25,18.25,18.0,18.25,1.5582870244979858,107300
1992-04-01,18.0,18.25,18.0,18.0,1.5369408130645752,111450
1992-04-02,18.0,18.25,18.0,18.0,1.5369408130645752,59300
1992-04-03,18.0,18.25,18.0,18.25,1.5582870244979858,64600
1992-04-06,18.0,18.25,18.0,18.25,1.5582870244979858,44500
1992-04-07,18.0,18.25,18.0,18.25,1.5582870244979858,73000
1992-04-08,18.0,18.25,18.0,18.0,1.5369408130645752,126400
1992-04-09,18.0,18.5,18.0,18.5,1.5796337127685547,86050
1992-04-10,18.5,18.5,18.25,18.5,1.5796337127685547,120850
1992-04-13,18.5,18.5,18.25,18.25,1.5582870244979858,124100
1992-04-14,18.5,18.5,18.0,18.25,1.5582870244979858,129850
1992-04-15,18.0,18.5,18.0,18.25,1.5582870244979858,102900
1992-04-16,18.5,18.5,18.0,18.0,1.5369408130645752,41050
1992-04-20,18.25,18.5,18.0,18.25,1.5582870244979858,42700
1992-04-21,18.0,18.25,18.0,18.25,1.5582870244979858,84400
1992-04-22,18.0,18.5,18.0,18.25,1.5582870244979858,66450
1992-04-23,18.25,18.5,18.25,18.25,1.5582870244979858,103300
1992-04-24,18.25,18.25,18.0,18.25,1.5582870244979858,29600
1992-04-27,18.25,18.25,17.75,18.0,1.5369408130645752,93350
1992-04-28,18.0,18.25,18.0,18.0,1.5369408130645752,56550
1992-04-29,18.0,18.25,18.0,18.0,1.5369408130645752,36950
1992-04-30,18.0,18.25,18.0,18.0,1.5369408130645752,80150
1992-05-01,18.0,18.25,18.0,18.25,1.5582870244979858,78900
1992-05-04,17.75,18.0,17.5,17.75,1.5155938863754272,63150
1992-05-05,17.5,17.75,17.5,17.75,1.5243535041809082,83500
1992-05-06,17.75,18.0,17.5,18.0,1.5458240509033203,122500
1992-05-07,18.0,18.0,17.75,18.0,1.5458240509033203,43900
1992-05-08,18.0,18.0,17.75,18.0,1.5458240509033203,53450
1992-05-11,17.75,18.25,17.75,18.25,1.5672935247421265,219200
1992-05-12,18.0,18.25,17.75,18.0,1.5458240509033203,198200
1992-05-13,17.75,18.0,17.75,18.0,1.5458240509033203,146900
1992-05-14,17.75,18.0,17.75,18.0,1.5458240509033203,126600
1992-05-15,17.75,18.0,17.75,18.0,1.5458240509033203,151500
1992-05-18,17.75,18.0,17.75,18.0,1.5458240509033203,144200
1992-05-19,17.75,18.0,17.75,18.0,1.5458240509033203,162900
1992-05-20,17.75,18.0,17.5,17.75,1.5243535041809082,158200
1992-05-21,17.5,17.75,17.5,17.75,1.5243535041809082,123350
1992-05-22,17.75,17.75,17.5,17.75,1.5243535041809082,105700
1992-05-26,17.5,17.75,17.25,17.5,1.502885103225708,128450
1992-05-27,17.5,17.75,17.5,17.75,1.5243535041809082,140000
1992-05-28,17.5,17.75,17.5,17.75,1.5243535041809082,139050
1992-05-29,17.5,17.75,17.5,17.75,1.5243535041809082,60950
1992-06-01,17.5,17.75,17.25,17.75,1.5243535041809082,128500
1992-06-02,17.5,17.75,17.25,17.25,1.4814164638519287,159600
1992-06-03,17.25,17.5,17.25,17.5,1.511824607849121,69450
1992-06-04,17.5,17.5,17.25,17.5,1.511824607849121,81400
1992-06-05,17.25,17.5,17.25,17.25,1.4902279376983643,106050
1992-06-08,17.25,17.75,17.25,17.75,1.533420443534851,173900
1992-06-09,17.75,18.0,17.5,18.0,1.555019736289978,327250
1992-06-10,18.0,18.0,17.75,18.0,1.555019736289978,175200
1992-06-11,18.0,18.0,17.75,18.0,1.555019736289978,143000
1992-06-12,18.0,18.0,17.75,18.0,1.555019736289978,88750
1992-06-15,18.0,18.0,17.75,18.0,1.555019736289978,106600
1992-06-16,17.75,18.25,17.75,18.0,1.555019736289978,184650
1992-06-17,18.0,18.0,17.75,17.75,1.533420443534851,125800
1992-06-18,17.75,18.0,17.75,18.0,1.555019736289978,72550
1992-06-19,17.75,18.0,17.75,18.0,1.555019736289978,71000
1992-06-22,18.0,18.0,17.75,17.75,1.533420443534851,79150
1992-06-23,18.0,18.25,17.75,18.25,1.5766167640686035,118800
1992-06-24,17.75,18.25,17.75,18.0,1.555019736289978,86450
1992-06-25,18.0,18.25,18.0,18.0,1.555019736289978,84050
1992-06-26,18.0,18.25,17.75,18.25,1.5766167640686035,67850
