Date,Open,High,Low,Close,Adj Close,Volume
1987-03-19,10.0,10.0,10.0,10.0,0.7443475723266602,3132400
1987-03-20,10.0,10.0,10.0,10.0,0.7443475723266602,740200
1987-03-23,10.0,10.0,9.875,9.875,0.7350438833236694,286100
1987-03-24,9.875,10.0,9.875,9.875,0.7350438833236694,168900
1987-03-25,10.0,10.0,9.875,9.875,0.7350438833236694,97500
1987-03-26,9.875,10.0,9.875,9.875,0.7350438833236694,123400
1987-03-27,9.875,10.0,9.875,9.875,0.7350438833236694,103500
1987-03-30,9.875,10.0,9.875,9.875,0.7350438833236694,160900
1987-03-31,9.875,10.0,9.875,9.875,0.7350438833236694,146100
1987-04-01,9.75,9.875,9.75,9.75,0.7257384061813354,49800
1987-04-02,9.625,9.75,9.625,9.625,0.7164351940155029,77500
1987-04-03,9.625,9.75,9.5,9.625,0.7164351940155029,183400
1987-04-06,9.625,9.625,9.5,9.625,0.7164351940155029,41500
1987-04-07,9.5,9.625,9.5,9.625,0.7164351940155029,51400
1987-04-08,9.625,9.625,9.5,9.625,0.7164351940155029,29000
1987-04-09,9.5,9.625,9.5,9.625,0.7164351940155029,30800
1987-04-10,9.5,9.625,9.5,9.625,0.7164351940155029,24000
1987-04-13,9.5,9.625,9.5,9.5,0.7071301341056824,30800
1987-04-14,9.375,9.5,8.875,9.0,0.669913113117218,59000
1987-04-15,9.125,9.25,8.875,9.0,0.669913113117218,47000
1987-04-16,9.125,9.375,9.0,9.25,0.6885214447975159,58500
1987-04-20,9.375,9.5,9.25,9.25,0.6885214447975159,34300
1987-04-21,9.125,9.25,9.125,9.125,0.6792179346084595,24100
1987-04-22,9.25,9.5,9.125,9.375,0.6978252530097961,37100
1987-04-23,9.375,9.5,9.25,9.375,0.6978252530097961,30800
1987-04-24,9.125,9.375,9.125,9.125,0.6824936866760254,25500
1987-04-27,9.25,9.25,9.125,9.25,0.691842257976532,16400
1987-04-28,9.125,9.5,9.125,9.375,0.7011913657188416,31300
1987-04-29,9.375,9.5,9.25,9.5,0.7105414271354675,14900
1987-04-30,9.5,9.5,9.375,9.5,0.7105414271354675,15800
1987-05-01,9.375,9.5,9.25,9.375,0.7011913657188416,10300
1987-05-04,9.375,9.375,9.25,9.25,0.691842257976532,7600
1987-05-05,9.25,9.5,9.25,9.25,0.691842257976532,10900
1987-05-06,9.375,9.5,9.25,9.375,0.7011913657188416,16700
1987-05-07,9.375,9.5,9.25,9.375,0.7011913657188416,13900
1987-05-08,9.375,9.5,9.25,9.25,0.691842257976532,10800
1987-05-11,9.25,9.375,9.25,9.375,0.7011913657188416,19500
1987-05-12,9.25,9.375,9.125,9.375,0.7011913657188416,25000
1987-05-13,9.375,9.375,9.25,9.25,0.691842257976532,28100
1987-05-14,9.25,9.375,9.125,9.25,0.691842257976532,27300
1987-05-15,9.25,9.375,9.125,9.25,0.691842257976532,15200
1987-05-18,9.125,9.25,9.0,9.125,0.6824936866760254,27900
1987-05-19,9.0,9.25,9.0,9.125,0.6824936866760254,27000
1987-05-20,9.0,9.375,9.0,9.125,0.6824936866760254,34000
1987-05-21,9.125,9.25,9.125,9.125,0.6824936866760254,20000
1987-05-22,9.25,9.25,9.0,9.25,0.696037769317627,13700
1987-05-26,9.25,9.375,9.125,9.25,0.696037769317627,19300
1987-05-27,9.375,9.375,9.0,9.125,0.6866323947906494,22100
1987-05-28,9.125,9.125,9.125,9.125,0.6866323947906494,7400
1987-05-29,9.375,9.375,9.25,9.375,0.7054436802864075,16600
1987-06-01,9.25,9.375,9.25,9.25,0.696037769317627,11200
1987-06-02,9.25,9.25,9.125,9.125,0.6866323947906494,6000
1987-06-03,9.25,9.25,9.0,9.125,0.6866323947906494,8900
1987-06-04,9.25,9.25,9.125,9.125,0.6866323947906494,5100
1987-06-05,9.125,9.25,9.125,9.25,0.696037769317627,10400
1987-06-08,9.25,9.25,9.125,9.25,0.696037769317627,10100
1987-06-09,9.25,9.375,9.125,9.25,0.696037769317627,18500
1987-06-10,9.375,9.375,9.25,9.25,0.696037769317627,16200
1987-06-11,9.25,9.375,9.25,9.25,0.696037769317627,8200
1987-06-12,9.25,9.25,9.125,9.25,0.696037769317627,21800
1987-06-15,9.25,9.25,9.125,9.125,0.6866323947906494,15700
1987-06-16,9.125,9.125,8.875,8.875,0.6678199768066406,71000
1987-06-17,9.0,9.125,9.0,9.0,0.677226185798645,118100
1987-06-18,9.125,9.25,9.0,9.25,0.696037769317627,32600
1987-06-19,9.125,9.375,9.125,9.375,0.7054436802864075,18400
1987-06-22,9.375,9.375,9.125,9.25,0.696037769317627,17100
1987-06-23,9.125,9.375,9.125,9.25,0.696037769317627,25400
1987-06-24,9.25,9.25,9.125,9.25,0.7002005577087402,9400
1987-06-25,9.25,9.375,9.125,9.25,0.7002005577087402,8400
1987-06-26,9.25,9.375,9.25,9.25,0.7002005577087402,7400
1987-06-29,9.125,9.375,9.125,9.375,0.7096635103225708,35600
1987-06-30,9.375,9.375,9.25,9.25,0.7002005577087402,25300
1987-07-01,9.25,9.375,9.25,9.25,0.7002005577087402,17800
1987-07-02,9.375,9.375,9.25,9.25,0.7002005577087402,9500
1987-07-06,9.375,9.5,9.25,9.5,0.7191259860992432,22400
1987-07-07,9.375,9.375,9.25,9.375,0.7096635103225708,17500
1987-07-08,9.375,9.375,9.25,9.375,0.7096635103225708,32000
1987-07-09,9.375,9.375,9.25,9.375,0.7096635103225708,34100
1987-07-10,9.375,9.375,9.25,9.25,0.7002005577087402,25300
1987-07-13,9.25,9.375,9.25,9.375,0.7096635103225708,27000
1987-07-14,9.375,9.375,9.25,9.375,0.7096635103225708,34900
1987-07-15,9.375,9.375,9.125,9.125,0.6907392144203186,48100
1987-07-16,9.125,9.375,9.125,9.25,0.7002005577087402,59700
1987-07-17,9.25,9.375,9.125,9.375,0.7096635103225708,25200
1987-07-20,9.25,9.375,9.25,9.25,0.7002005577087402,16000
1987-07-21,9.25,9.375,9.25,9.375,0.7096635103225708,12600
1987-07-22,9.375,9.375,9.125,9.25,0.7002005577087402,33000
1987-07-23,9.125,9.375,9.125,9.375,0.7096635103225708,53300
1987-07-24,9.125,9.25,9.0,9.0,0.681276798248291,15100
1987-07-27,9.125,9.125,9.0,9.125,0.6951419115066528,19200
1987-07-28,9.0,9.25,9.0,9.0,0.685619056224823,24700
1987-07-29,9.0,9.125,9.0,9.0,0.685619056224823,10500
1987-07-30,9.125,9.25,9.125,9.125,0.6951419115066528,22400
1987-07-31,9.25,9.25,9.125,9.25,0.7046640515327454,10100
1987-08-03,9.125,9.25,9.0,9.0,0.685619056224823,27300
1987-08-04,9.125,9.125,9.0,9.125,0.6951419115066528,16700
1987-08-05,9.25,9.25,9.0,9.0,0.685619056224823,16000
1987-08-06,9.125,9.25,9.125,9.125,0.6951419115066528,16500
1987-08-07,9.125,9.25,9.0,9.0,0.685619056224823,7900
1987-08-10,9.125,9.125,9.0,9.125,0.6951419115066528,27300
1987-08-11,9.125,9.25,9.0,9.125,0.6951419115066528,57300
1987-08-12,9.0,9.375,9.0,9.375,0.7141866683959961,47200
1987-08-13,9.25,9.375,9.25,9.25,0.7046640515327454,25500
