Date,Open,High,Low,Close,Adj Close,Volume
1985-02-13,0.0,0.703125,0.625,0.625,0.4070030450820923,19680
1985-02-14,0.0,0.703125,0.625,0.625,0.4070030450820923,65920
1985-02-15,0.0,0.703125,0.625,0.625,0.4070030450820923,31360
1985-02-19,0.0,0.625,0.625,0.625,0.4070030450820923,9120
1985-02-20,0.0,0.625,0.625,0.625,0.4070030450820923,40000
1985-02-21,0.0,0.625,0.625,0.625,0.4070030450820923,28960
1985-02-22,0.0,0.625,0.546875,0.546875,0.35612767934799194,65600
1985-02-25,0.0,0.625,0.546875,0.546875,0.35612767934799194,53600
1985-02-26,0.0,0.625,0.546875,0.546875,0.35612767934799194,28800
1985-02-27,0.0,0.625,0.546875,0.546875,0.35612767934799194,15200
1985-02-28,0.0,0.625,0.546875,0.546875,0.35612767934799194,34560
1985-03-01,0.0,0.625,0.546875,0.546875,0.35612767934799194,64000
1985-03-04,0.0,0.625,0.625,0.625,0.4070030450820923,8000
1985-03-05,0.0,0.625,0.546875,0.546875,0.35612767934799194,19200
1985-03-06,0.0,0.625,0.546875,0.546875,0.35612767934799194,71200
1985-03-07,0.0,0.625,0.546875,0.546875,0.35612767934799194,50560
1985-03-08,0.0,0.546875,0.546875,0.546875,0.35612767934799194,252320
1985-03-11,0.0,0.546875,0.546875,0.546875,0.35612767934799194,55200
1985-03-12,0.0,0.546875,0.546875,0.546875,0.35612767934799194,87040
1985-03-13,0.0,0.625,0.546875,0.546875,0.35612767934799194,16480
1985-03-14,0.0,0.625,0.546875,0.546875,0.35612767934799194,8320
1985-03-15,0.0,0.625,0.546875,0.546875,0.35612767934799194,8800
1985-03-18,0.0,0.625,0.625,0.625,0.4070030450820923,58880
1985-03-19,0.0,0.703125,0.703125,0.703125,0.45787855982780457,150240
1985-03-20,0.0,0.703125,0.625,0.625,0.4070030450820923,58880
1985-03-21,0.0,0.703125,0.625,0.625,0.4070030450820923,46880
1985-03-22,0.0,0.703125,0.703125,0.703125,0.45787855982780457,25600
1985-03-25,0.0,0.703125,0.625,0.625,0.4070030450820923,47840
1985-03-26,0.0,0.703125,0.625,0.625,0.4070030450820923,25600
1985-03-27,0.0,0.703125,0.625,0.625,0.4070030450820923,7840
1985-03-28,0.0,0.703125,0.625,0.625,0.4070030450820923,46080
1985-03-29,0.0,0.703125,0.625,0.625,0.4070030450820923,19360
1985-04-01,0.0,0.703125,0.625,0.625,0.4070030450820923,54720
1985-04-02,0.0,0.625,0.625,0.625,0.4070030450820923,76000
1985-04-03,0.0,0.625,0.625,0.625,0.4070030450820923,13280
1985-04-04,0.0,0.625,0.625,0.625,0.4070030450820923,76000
1985-04-08,0.625,0.625,0.625,0.625,0.4070030450820923,0
1985-04-09,0.0,0.625,0.546875,0.546875,0.35612767934799194,19040
1985-04-10,0.0,0.625,0.546875,0.546875,0.35612767934799194,13440
1985-04-11,0.0,0.625,0.546875,0.546875,0.35612767934799194,30880
1985-04-12,0.0,0.625,0.546875,0.546875,0.35612767934799194,28160
1985-04-15,0.0,0.625,0.546875,0.546875,0.35612767934799194,41760
1985-04-16,0.0,0.625,0.625,0.625,0.4070030450820923,16640
1985-04-17,0.0,0.625,0.625,0.625,0.4070030450820923,41600
1985-04-18,0.0,0.625,0.546875,0.625,0.4070030450820923,3200
1985-04-19,0.0,0.703125,0.625,0.703125,0.45787855982780457,7680
1985-04-22,0.0,0.625,0.625,0.625,0.4070030450820923,51360
1985-04-23,0.0,0.625,0.625,0.625,0.4070030450820923,37440
1985-04-24,0.0,0.625,0.546875,0.625,0.4070030450820923,24160
1985-04-25,0.0,0.625,0.546875,0.625,0.4070030450820923,73920
1985-04-26,0.0,0.625,0.546875,0.546875,0.35612767934799194,9600
1985-04-29,0.0,0.625,0.546875,0.625,0.4070030450820923,420160
1985-04-30,0.0,0.625,0.625,0.625,0.4070030450820923,28320
1985-05-01,0.0,0.625,0.625,0.625,0.4070030450820923,12640
1985-05-02,0.0,0.625,0.546875,0.625,0.4070030450820923,12160
1985-05-03,0.0,0.625,0.625,0.625,0.4070030450820923,39040
1985-05-06,0.0,0.625,0.546875,0.546875,0.35612767934799194,79360
1985-05-07,0.0,0.625,0.546875,0.625,0.4070030450820923,13120
1985-05-08,0.0,0.625,0.546875,0.546875,0.35612767934799194,18080
1985-05-09,0.0,0.625,0.546875,0.625,0.4070030450820923,102400
1985-05-10,0.0,0.625,0.546875,0.625,0.4070030450820923,69920
1985-05-13,0.0,0.625,0.546875,0.625,0.4070030450820923,19680
1985-05-14,0.0,0.625,0.625,0.625,0.4070030450820923,294240
1985-05-15,0.0,0.625,0.625,0.625,0.4070030450820923,22240
1985-05-16,0.0,0.625,0.625,0.625,0.4070030450820923,36960
1985-05-17,0.0,0.625,0.625,0.625,0.4070030450820923,51840
1985-05-20,0.0,0.703125,0.625,0.625,0.4070030450820923,58240
1985-05-21,0.0,0.703125,0.625,0.625,0.4070030450820923,136320
1985-05-22,0.0,0.703125,0.625,0.625,0.4070030450820923,20320
1985-05-23,0.0,0.625,0.625,0.625,0.4070030450820923,20800
1985-05-24,0.0,0.625,0.625,0.625,0.4070030450820923,81600
1985-05-28,0.0,0.625,0.625,0.625,0.4070030450820923,16480
1985-05-29,0.0,0.625,0.625,0.625,0.4070030450820923,5920
1985-05-30,0.0,0.625,0.625,0.625,0.4070030450820923,2080
1985-05-31,0.0,0.625,0.625,0.625,0.4070030450820923,192800
1985-06-03,0.0,0.625,0.625,0.625,0.4070030450820923,34400
1985-06-04,0.0,0.625,0.625,0.625,0.4070030450820923,54720
1985-06-05,0.0,0.625,0.625,0.625,0.4070030450820923,11200
