Date,Open,High,Low,Close,Adj Close,Volume
1993-08-09,15.25,15.25,15.125,15.25,0.9155463576316833,81800
1993-08-10,15.25,15.375,15.125,15.125,0.9080421924591064,97300
1993-08-11,15.25,15.25,15.125,15.25,0.9155463576316833,22000
1993-08-12,15.25,15.25,15.125,15.25,0.9155463576316833,30000
1993-08-13,15.125,15.25,15.125,15.125,0.9080421924591064,45600
1993-08-16,15.125,15.25,15.125,15.125,0.9080421924591064,26000
1993-08-17,15.25,15.25,15.125,15.25,0.9155463576316833,51300
1993-08-18,15.25,15.25,15.125,15.25,0.9155463576316833,56500
1993-08-19,15.25,15.25,15.125,15.125,0.9080421924591064,58700
1993-08-20,15.25,15.25,15.0,15.125,0.9080421924591064,64700
1993-08-23,15.25,15.375,15.125,15.375,0.9230510592460632,52300
1993-08-24,15.25,15.25,15.125,15.25,0.9155463576316833,55600
1993-08-25,15.25,15.375,15.125,15.375,0.9230510592460632,37700
1993-08-26,15.375,15.375,15.25,15.375,0.9230510592460632,16800
1993-08-27,15.375,15.625,15.25,15.625,0.9380596876144409,111700
1993-08-30,15.625,15.625,15.5,15.625,0.9380596876144409,72200
1993-08-31,15.5,15.625,15.375,15.375,0.9230510592460632,23700
1993-09-01,15.5,15.875,15.375,15.375,0.9230510592460632,152600
1993-09-02,15.25,15.375,15.0,15.375,0.9230510592460632,54200
1993-09-03,15.375,15.5,15.25,15.375,0.9230510592460632,27700
1993-09-07,15.375,15.5,15.25,15.25,0.9155463576316833,26700
1993-09-08,15.375,15.375,15.25,15.375,0.9230510592460632,74000
1993-09-09,15.5,15.5,15.375,15.5,0.9305552840232849,50200
1993-09-10,15.375,15.625,15.375,15.625,0.9380596876144409,66200
1993-09-13,15.625,15.625,15.375,15.625,0.9380596876144409,39500
1993-09-14,15.5,15.5,15.375,15.5,0.9305552840232849,22500
1993-09-15,15.375,15.5,15.25,15.375,0.9230510592460632,52300
1993-09-16,15.5,15.5,15.25,15.375,0.9230510592460632,35800
1993-09-17,15.375,15.375,15.125,15.375,0.9230510592460632,64300
1993-09-20,15.25,15.25,15.125,15.25,0.9155463576316833,46600
1993-09-21,15.125,15.375,15.0,15.125,0.9080421924591064,79100
1993-09-22,15.125,15.125,15.0,15.125,0.9080421924591064,47800
1993-09-23,15.125,15.125,14.875,15.0,0.9005372524261475,41200
1993-09-24,14.875,15.0,14.875,15.0,0.9102464914321899,13400
1993-09-27,15.0,15.0,14.75,14.75,0.8950760364532471,108600
1993-09-28,14.875,14.875,14.625,14.875,0.9026618003845215,27600
1993-09-29,14.875,14.875,14.625,14.75,0.8950760364532471,41300
1993-09-30,14.75,14.875,14.625,14.875,0.9026618003845215,35100
1993-10-01,14.875,14.875,14.75,14.875,0.9026618003845215,16000
1993-10-04,14.875,14.875,14.75,14.875,0.9026618003845215,26700
1993-10-05,14.875,14.875,14.75,14.75,0.8950760364532471,49400
1993-10-06,14.75,15.0,14.75,15.0,0.9102464914321899,141200
1993-10-07,15.0,15.125,14.875,15.0,0.9102464914321899,68600
1993-10-08,15.0,15.0,14.875,15.0,0.9102464914321899,22200
1993-10-11,15.0,15.125,15.0,15.125,0.9178321957588196,69700
1993-10-12,15.0,15.125,15.0,15.125,0.9178321957588196,21300
1993-10-13,15.0,15.125,15.0,15.0,0.9102464914321899,15600
1993-10-14,15.125,15.25,15.0,15.125,0.9178321957588196,86200
1993-10-15,15.25,15.5,15.25,15.5,0.9405882358551025,135000
1993-10-18,15.5,15.875,15.5,15.75,0.9557592272758484,142900
1993-10-19,15.625,15.75,15.625,15.75,0.9557592272758484,37300
1993-10-20,15.75,15.875,15.5,15.5,0.9405882358551025,81100
1993-10-21,15.625,15.625,15.375,15.5,0.9405882358551025,62200
1993-10-22,15.5,15.625,15.5,15.5,0.9405882358551025,23600
1993-10-25,15.625,15.75,15.5,15.625,0.9481735229492188,71300
1993-10-26,15.625,15.75,15.625,15.75,0.9557592272758484,59000
1993-10-27,15.75,15.75,15.375,15.5,0.9405882358551025,64300
1993-10-28,15.375,15.625,15.375,15.5,0.9405882358551025,65700
1993-10-29,15.5,15.625,15.375,15.625,0.9481735229492188,31300
1993-11-01,15.625,15.875,15.625,15.75,0.9557592272758484,92200
1993-11-02,15.75,15.875,15.75,15.875,0.9633442163467407,72900
1993-11-03,16.0,16.0,15.625,15.75,0.9557592272758484,106600
1993-11-04,15.75,15.875,15.375,15.5,0.9405882358551025,73300
1993-11-05,15.5,15.5,15.375,15.5,0.9405882358551025,38400
1993-11-08,15.5,15.625,15.375,15.625,0.9481735229492188,38100
1993-11-09,15.75,15.75,15.375,15.5,0.9405882358551025,52500
1993-11-10,15.5,15.5,15.375,15.5,0.9405882358551025,13800
1993-11-11,15.5,15.625,15.375,15.375,0.9330031871795654,24800
1993-11-12,15.5,15.5,15.25,15.375,0.9330031871795654,27200
1993-11-15,15.5,15.625,15.375,15.5,0.9405882358551025,62000
1993-11-16,15.5,15.75,15.5,15.75,0.9557592272758484,82100
1993-11-17,15.625,16.0,15.625,15.875,0.9633442163467407,85900
1993-11-18,15.875,15.875,15.625,15.75,0.9557592272758484,25400
1993-11-19,15.875,15.875,15.5,15.625,0.9481735229492188,37600
1993-11-22,15.5,15.625,15.375,15.5,0.9405882358551025,27600
1993-11-23,15.625,15.75,15.375,15.625,0.9481735229492188,52300
1993-11-24,15.5,15.625,15.375,15.625,0.9481735229492188,82500
1993-11-26,15.625,15.75,15.5,15.75,0.9557592272758484,14800
1993-11-29,15.625,15.875,15.625,15.875,0.9633442163467407,39200
1993-11-30,15.75,16.25,15.75,16.25,0.9861007332801819,50000
1993-12-01,16.25,16.5,16.0,16.375,0.9936857223510742,155900
1993-12-02,16.5,16.875,16.375,16.75,1.0164424180984497,156900
1993-12-03,16.625,16.875,16.625,16.75,1.0164424180984497,60600
